barometer    result    acceleration
77.4365    77.4368    7.2641
77.4365    77.4591    7.8149
77.4365    77.4241    8.3668
77.4365    77.4351    8.9044
77.4365    77.4322    9.4274
77.4365    77.4610    9.9539
77.4365    77.4241    10.5074
77.4365    77.4356    10.5540
77.4365    77.4481    10.5714
77.4365    77.4245    10.5882
77.4365    77.4354    10.6038
77.4365    77.4510    10.6250
77.4365    77.4242    10.6477
77.4365    77.4356    10.6444
77.4365    77.4476    10.6564
77.4365    77.4250    10.6274
77.4365    77.4354    10.5943
77.4365    77.4512    10.5770
121.5493    121.5369    10.5908
121.5493    121.5484    10.6140
121.5493    121.5606    10.6187
121.5493    121.5376    10.6078
121.5493    121.5482    10.5895
121.5493    121.5642    10.5817
121.5493    121.5368    10.5889
121.5493    121.5484    10.5918
121.5493    121.5602    10.5453
121.5493    121.5380    10.4829
121.5493    121.5482    10.4521
121.5493    121.5641    10.4204
121.5493    121.5369    10.3913
121.5493    121.5484    10.3746
121.5493    121.5602    10.3592
121.5493    121.5381    10.3685
121.5493    121.5482    10.3484
121.5493    121.5636    10.3566
121.5493    121.5373    10.3656
121.5493    121.5483    10.3885
121.5493    121.5601    10.3748
121.5493    121.5382    10.3645
121.5493    121.5481    10.3399
121.5493    121.5637    10.3307
154.4079    154.3630    10.3503
154.4079    154.4069    10.3874
154.4079    154.4192    10.4327
154.4079    154.3964    10.4851
154.4079    154.4067    10.5292
154.4079    154.4219    10.5866
154.4079    154.3962    10.6385
154.4079    154.4070    10.6686
154.4079    154.4186    10.6891
154.4079    154.3969    10.7075
154.4079    154.4067    10.7087
154.4079    154.4221    10.7022
154.4079    154.3961    10.6988
154.4079    154.4069    10.7098
154.4079    154.4186    10.7374
154.4079    154.3970    10.7502
154.4079    154.4067    10.7587
154.4079    154.4221    10.7526
154.4079    154.3961    10.7439
154.4079    154.4070    10.7130
154.4079    154.4179    10.6521
154.4079    154.3977    10.5688
154.4079    154.4067    10.4680
154.4079    154.4228    10.3552
154.4079    154.3956    10.2735
154.4122    154.4112    10.1868
154.4122    154.4223    10.1195
154.4122    154.4018    10.0628
154.4122    154.4110    9.99910
154.4122    154.4268    9.92398
154.4122    154.4002    9.86412
154.4122    154.4112    9.80872
154.4122    154.4223    9.76123
154.4122    154.4019    9.72169
154.4122    154.4110    9.66180
154.4122    154.4265    9.61805
154.4122    154.4003    9.61303
154.4122    154.4112    9.60212
154.4122    154.4225    9.58295
154.4122    154.4017    9.56947
154.4122    154.4110    9.57000
154.4122    154.4259    9.59459
154.4122    154.4008    9.62948
154.4122    154.4112    9.66352
154.4122    154.4226    9.69716
154.4122    154.4016    9.74126
154.4122    154.4110    9.80570
154.4122    154.4253    9.86533
154.4122    154.4013    9.92833
154.4096    154.4086    10.0005
154.4087    154.4190    10.0654
154.4087    154.3982    10.1214
154.4087    154.4075    10.1631
154.4087    154.4221    10.1856
154.4087    154.3976    10.2093
154.4087    154.4077    10.2255
154.4087    154.4186    10.2398
154.4087    154.3986    10.2653
154.4087    154.4075    10.2961
154.4087    154.4217    10.3301
154.4087    154.3980    10.3599
154.4087    154.4077    10.3845
154.4087    154.4183    10.4009
154.4087    154.3989    10.4134
154.4087    154.4075    10.4213
154.4087    154.4217    10.4243
154.4087    154.3980    10.3950
154.4087    154.4077    10.3851
154.4087    154.4182    10.4183
154.4087    154.3989    10.2410
154.4087    154.4075    10.2331
154.4087    154.4219    10.2282
154.4087    154.3979    10.2578
154.4087    154.4076    10.2973
154.4061    154.4160    10.3305
154.4061    154.3961    10.4008
154.4061    154.4049    10.4294
154.4061    154.4195    10.4113
154.4061    154.3951    10.5100
154.4061    154.4051    10.5755
154.4061    154.4163    10.6237
154.4061    154.3958    10.6629
154.4061    154.4048    10.7083
154.4061    154.4195    10.7617
154.4061    154.3952    10.8120
154.4061    154.4051    10.8601
154.4061    154.4162    10.9086
154.4061    154.3959    10.9403
154.4061    154.4048    10.9319
154.4061    154.4191    11.0793
154.4061    154.3955    11.1374
154.4061    154.4051    11.1239
154.4061    154.4154    11.1371
154.4061    154.3967    11.1305
154.4061    154.4049    11.1370
154.4061    154.4190    11.1254
154.4061    154.3957    11.1133
154.4061    154.4051    11.1515
154.4061    154.4147    10.9652
154.3757    154.3670    10.9623
154.3757    154.3745    10.9251
154.3757    154.3881    10.8802
154.3757    154.3656    10.8314
154.3757    154.3747    10.7565
154.3757    154.3839    10.6914
154.3757    154.3673    10.6249
154.3757    154.3745    10.5623
154.3757    154.3877    10.5170
154.3757    154.3659    10.4609
154.3757    154.3747    10.4687
154.3757    154.3840    10.3972
154.3757    154.3673    10.4027
154.3757    154.3745    10.3530
154.3757    154.3877    10.3246
154.3757    154.3660    10.2248
154.3757    154.3748    10.0654
154.3757    154.3831    9.97961
154.3757    154.3681    9.87671
154.3757    154.3746    9.90106
154.3757    154.3867    9.76507
154.3757    154.3668    9.70398
154.3757    154.3748    9.71568
154.3757    154.3834    9.70014
154.3672    154.3593    9.63073
154.3672    154.3660    9.59190
154.3672    154.3786    9.54056
154.3672    154.3580    9.48980
154.3672    154.3663    9.42593
154.3672    154.3747    9.36697
154.3672    154.3596    9.31736
154.3672    154.3661    9.27461
154.3672    154.3782    9.24252
154.3672    154.3583    9.23153
154.3672    154.3663    9.22533
154.3672    154.3751    9.27741
154.3672    154.3592    9.37802
154.3672    154.3661    9.43781
154.3672    154.3781    9.38371
154.3672    154.3583    9.40373
154.3672    154.3662    9.42272
154.3672    154.3750    9.41260
154.3672    154.3593    9.35353
154.3672    154.3660    9.32200
154.3672    154.3780    9.37260
154.3672    154.3584    9.38694
154.3672    154.3662    9.41642
154.3672    154.3750    9.42660
154.3672    154.3593    9.42793
154.3583    154.3571    9.44731
154.3583    154.3689    9.49209
154.3583    154.3497    9.52347
154.3583    154.3574    9.53644
154.3583    154.3658    9.52248
154.3583    154.3507    9.50337
154.3583    154.3571    9.50321
154.3583    154.3688    9.50528
154.3583    154.3498    9.49578
154.3583    154.3573    9.61383
154.3583    154.3664    9.66334
154.3583    154.3502    9.71842
154.3583    154.3571    9.77231
154.3583    154.3693    9.77353
154.3583    154.3494    9.82474
154.3583    154.3573    9.83373
154.3583    154.3661    9.84241
154.3583    154.3504    9.85544
154.3583    154.3571    9.89621
154.3583    154.3688    9.94408
154.3583    154.3498    9.99128
154.3583    154.3573    10.0098
154.3583    154.3659    10.0344
154.3583    154.3507    10.0936
154.3455    154.3444    10.1485
154.3443    154.3548    10.1312
154.3443    154.3360    10.1201
154.3443    154.3434    10.1376
154.3443    154.3518    10.1580
154.3443    154.3368    10.1779
154.3443    154.3432    10.1870
154.3443    154.3548    10.1924
154.3443    154.3360    10.1966
154.3443    154.3434    10.2322
154.3443    154.3517    10.2147
154.3443    154.3369    10.2694
154.3443    154.3431    10.2514
154.3443    154.3549    10.2473
154.3443    154.3359    10.2512
154.3443    154.3434    10.2746
154.3443    154.3518    10.2801
154.3443    154.3368    10.2877
154.3443    154.3431    10.2969
154.3443    154.3549    10.2856
154.3443    154.3359    10.1948
154.3443    154.3433    10.2731
154.3443    154.3521    10.3188
154.3443    154.3365    10.3237
154.3443    154.3431    10.3585
154.3336    154.3444    10.3804
154.3336    154.3250    10.4078
154.3336    154.3326    10.4341
154.3336    154.3413    10.4732
154.3336    154.3258    10.5166
154.3336    154.3323    10.5403
154.3336    154.3445    10.5207
154.3336    154.3248    10.5698
154.3336    154.3325    10.6049
154.3336    154.3414    10.6191
154.3336    154.3257    10.6223
154.3336    154.3323    10.6373
154.3336    154.3448    10.6054
154.3336    154.3247    10.5789
154.3336    154.3326    10.5058
154.3336    154.3413    10.5606
154.3336    154.3259    10.5492
154.3336    154.3323    10.5552
154.3336    154.3444    10.5729
154.3336    154.3250    10.5582
154.3336    154.3325    10.5589
154.3336    154.3412    10.5735
154.3336    154.3260    10.5950
154.3336    154.3322    10.5175
154.3336    154.3448    10.5210
154.3212    154.3124    10.4941
154.3212    154.3201    10.5561
154.3212    154.3293    10.5890
154.3212    154.3131    10.5820
154.3212    154.3198    10.5746
154.3212    154.3328    10.5656
154.3212    154.3120    10.5605
154.3212    154.3200    10.5940
154.3212    154.3295    10.6260
154.3212    154.3129    10.6991
154.3212    154.3198    10.7556
154.3212    154.3326    10.7838
154.3212    154.3122    10.7912
154.3212    154.3201    10.8015
154.3212    154.3292    10.8220
154.3212    154.3132    10.8534
154.3212    154.3198    10.9117
154.3212    154.3320    10.9690
154.3212    154.3126    11.0955
154.3212    154.3201    11.1176
154.3212    154.3289    11.1314
154.3212    154.3135    11.1331
154.3212    154.3198    11.0891
154.3212    154.3322    11.1361
154.3184    154.3097    11.1919
154.3184    154.3173    11.2323
154.3184    154.3263    11.2571
154.3184    154.3106    11.2868
154.3184    154.3171    11.3276
154.3184    154.3293    11.3788
154.3184    154.3099    11.3989
154.3184    154.3174    11.4096
154.3184    154.3262    11.4790
154.3184    154.3108    11.5012
154.3184    154.3171    11.4827
154.3184    154.3301    11.3810
154.3184    154.3094    11.2273
154.3184    154.3174    11.0889
154.3184    154.3256    10.9871
154.3184    154.3113    10.9068
154.3184    154.3172    10.9159
154.3184    154.3290    10.8669
154.3184    154.3102    10.8939
154.3184    154.3175    10.6951
154.3184    154.3243    10.4411
154.3184    154.3126    10.2839
154.3184    154.3173    10.1791
154.3184    154.3280    10.0493
154.3184    154.3110    9.94170
154.3515    154.3505    9.84965
154.3515    154.3574    9.76134
154.3515    154.3455    9.66785
154.3515    154.3503    9.51503
154.3515    154.3614    9.39304
154.3515    154.3438    9.30548
154.3515    154.3505    9.24055
154.3515    154.3579    9.20029
154.3515    154.3450    9.13060
154.3515    154.3502    9.04332
154.3515    154.3616    8.97496
154.3515    154.3437    8.88837
154.3515    154.3505    8.78815
154.3515    154.3577    8.67937
154.3515    154.3453    8.75943
154.3515    154.3504    8.90034
154.3515    154.3595    8.95045
154.3515    154.3452    8.95982
154.3515    154.3506    8.98956
154.3515    154.3571    8.97321
154.3515    154.3459    8.90879
154.3515    154.3504    8.85994
154.3515    154.3600    8.80640
154.3515    154.3448    8.76928
154.3784    154.3775    8.73145
154.4035    154.4092    8.73202
154.4035    154.3978    8.76308
154.4035    154.4024    8.79284
154.4035    154.4115    8.82995
154.4035    154.3973    8.87483
154.4035    154.4027    8.92287
154.4035    154.4093    8.96113
154.4035    154.3978    8.99408
154.4035    154.4024    9.02924
154.4035    154.4117    9.01647
154.4035    154.3972    8.98492
154.4035    154.4027    8.95997
154.4035    154.4090    8.94580
154.4035    154.3981    8.95111
154.4035    154.4025    8.96335
154.4035    154.4112    9.01842
154.4035    154.3975    9.08015
154.4035    154.4027    9.02127
154.4035    154.4087    9.07707
154.4035    154.3983    9.10173
154.4035    154.4025    9.14285
154.4035    154.4108    9.15918
154.4035    154.3979    9.14489
154.4035    154.4027    9.15057
154.4500    154.4550    9.16500
154.4500    154.4450    9.17660
154.4500    154.4490    9.17940
154.4500    154.4571    9.22311
154.4500    154.4445    9.23885
154.4500    154.4492    9.31992
154.4500    154.4553    9.39813
154.4500    154.4447    9.46407
154.4500    154.4490    9.50040
154.4500    154.4575    9.51875
154.4500    154.4442    9.54062
154.4500    154.4492    9.55282
154.4500    154.4552    9.56012
154.4500    154.4449    9.72319
154.4500    154.4490    9.76440
154.4500    154.4569    9.84499
154.4500    154.4447    9.86817
154.4500    154.4492    9.91782
154.4500    154.4550    9.97430
154.4500    154.4450    10.0461
154.4500    154.4490    10.0158
154.4500    154.4575    10.0104
154.4500    154.4443    10.0342
154.4500    154.4492    10.0417
154.4500    154.4552    10.0934
154.4716    154.4664    10.1140
154.4716    154.4706    10.1241
154.4716    154.4792    10.1337
154.4716    154.4658    10.1607
154.4716    154.4708    10.2005
154.4716    154.4770    10.2242
154.4716    154.4664    10.2448
154.4716    154.4705    10.1671
154.4716    154.4798    10.1527
154.4716    154.4654    10.1109
154.4716    154.4707    10.0831
154.4716    154.4770    10.0483
154.4716    154.4663    10.0309
154.4716    154.4705    10.0584
154.4716    154.4793    10.0646
154.4716    154.4657    10.1608
154.4716    154.4707    10.2354
154.4716    154.4773    10.3105
154.4716    154.4660    10.3723
154.4716    154.4704    10.2882
154.4716    154.4803    10.2985
154.4716    154.4650    10.2851
154.4716    154.4706    10.3549
154.4716    154.4777    10.3680
154.4579    154.4519    10.3706
154.4579    154.4566    10.3858
154.4579    154.4666    10.4076
154.4579    154.4511    10.5388
154.4579    154.4568    10.6153
154.4579    154.4644    10.7216
154.4579    154.4515    10.8200
154.4579    154.4566    10.9373
154.4579    154.4664    11.0554
154.4579    154.4514    11.0030
154.4579    154.4569    11.0360
154.4579    154.4637    11.0410
154.4579    154.4521    11.0424
154.4579    154.4566    11.0447
154.4579    154.4664    11.0526
154.4579    154.4513    11.1967
154.4579    154.4569    11.2306
154.4579    154.4636    11.1439
154.4579    154.4522    11.1276
154.4579    154.4567    11.1242
154.4579    154.4659    11.2313
154.4579    154.4517    11.3311
154.4579    154.4569    11.3676
154.4579    154.4636    11.4263
154.4579    154.4523    11.4418
154.4313    154.4301    11.4559
154.4313    154.4396    11.4647
154.4313    154.4250    11.4551
154.4313    154.4304    11.4166
154.4313    154.4367    11.3772
154.4313    154.4260    11.3736
154.4313    154.4302    11.3704
154.4313    154.4392    11.3776
154.4313    154.4253    11.3765
154.4313    154.4304    11.4106
154.4313    154.4369    11.4458
154.4313    154.4259    11.4651
