Syntax version=4
Sun Nov 24 22:27:38 2019
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		akcelerometer[0]	akcelerometer[1]	akcelerometer[2]	gyroskope[0]	gyroskope[1]	gyroskope[2]
D:	time(ms)	(0x20000780,7)	(0x20000788,7)	(0x20000790,7)	(0x20000798,7)	(0x200007a0,7)	(0x200007a8,7)
D:	783.87	0.886157	0.974773	-9.539363	-0.046872	0.038350	0.047937
D:	784.99	0.886157	0.974773	-9.539363	-0.046872	0.038350	0.047937
D:	786.10	0.886157	0.974773	-9.539363	-0.046872	0.038350	0.047937
D:	787.23	0.886157	0.974773	-9.539363	-0.046872	0.038350	0.047937
D:	788.35	0.886157	0.974773	-9.539363	-0.046872	0.038350	0.047937
D:	789.50	0.886157	0.974773	-9.539363	-0.046872	0.038350	0.047937
D:	790.61	0.886157	0.974773	-9.539363	-0.046872	0.038350	0.047937
D:	791.76	0.886157	0.974773	-9.539363	-0.046872	0.038350	0.047937
D:	792.91	0.886157	0.974773	-9.539363	-0.046872	0.038350	0.047937
D:	794.07	0.886157	0.974773	-9.539363	-0.046872	0.038350	0.047937
D:	795.14	0.886157	0.974773	-9.539363	-0.117179	0.026632	0.021305
D:	796.46	0.833467	1.080154	-9.711804	-0.117179	0.026632	0.021305
D:	797.52	0.833467	1.080154	-9.711804	-0.117179	0.026632	0.021305
D:	798.51	0.833467	1.080154	-9.711804	-0.117179	0.026632	0.021305
D:	799.49	0.833467	1.080154	-9.711804	-0.117179	0.026632	0.021305
D:	800.43	0.833467	1.080154	-9.711804	-0.117179	0.026632	0.021305
D:	801.35	0.833467	1.080154	-9.711804	-0.117179	0.026632	0.021305
D:	802.32	0.833467	1.080154	-9.711804	-0.117179	0.026632	0.021305
D:	803.24	0.833467	1.063388	-9.680669	-0.169377	0.007457	-0.008522
D:	804.17	0.759221	1.063389	-9.680669	-0.169377	0.007457	-0.008522
D:	805.10	0.759221	1.063389	-9.680669	-0.169377	0.007457	-0.008522
D:	806.06	0.759221	1.063389	-9.680669	-0.169377	0.007457	-0.008522
D:	806.98	0.759221	1.063389	-9.680669	-0.169377	0.007457	-0.008522
D:	807.91	0.759221	1.063389	-9.680669	-0.169377	0.007457	-0.008522
D:	808.88	0.759221	1.063389	-9.680669	-0.169377	0.007457	-0.008522
D:	809.81	0.759221	1.063389	-9.680669	-0.169377	0.007457	-0.008522
D:	810.77	0.759221	1.063389	-9.680669	-0.169377	0.007457	-0.008522
D:	811.76	0.759221	1.063389	-9.680669	-0.169377	0.007457	-0.008522
D:	812.98	0.759221	1.063389	-9.680669	-0.169377	0.004261	-0.026632
D:	814.12	0.852627	1.223855	-9.836345	-0.194943	0.004261	-0.026632
D:	815.08	0.852627	1.223855	-9.836345	-0.194943	0.004261	-0.026632
D:	816.06	0.852627	1.223855	-9.836345	-0.194943	0.004261	-0.026632
D:	816.98	0.852627	1.223855	-9.836345	-0.194943	0.004261	-0.026632
D:	817.94	0.852627	1.223855	-9.836345	-0.194943	0.004261	-0.026632
D:	818.88	0.852627	1.223855	-9.836345	-0.194943	0.004261	-0.026632
D:	819.84	0.852627	1.223855	-9.836345	-0.194943	0.004261	-0.026632
D:	820.79	0.852627	1.223855	-9.836345	-0.194943	0.004261	-0.026632
D:	821.77	0.852627	1.223855	-9.836345	-0.194943	0.004261	-0.026632
D:	822.73	0.852627	1.223855	-9.836345	-0.194943	0.004261	-0.026632
D:	823.67	0.852627	1.223855	-9.836345	-0.194943	0.004261	-0.026632
D:	824.63	0.852627	1.223855	-9.836345	-0.194943	0.004261	-0.026632
D:	825.58	0.931663	1.130449	-10.008787	-0.187487	0.002131	-0.041545
D:	826.59	0.931663	1.130449	-10.008787	-0.187487	0.002131	-0.041545
D:	827.60	0.931663	1.130449	-10.008787	-0.187487	0.002131	-0.041545
D:	828.59	0.931663	1.130449	-10.008787	-0.187487	0.002131	-0.041545
D:	829.57	0.931663	1.130449	-10.008787	-0.187487	0.002131	-0.041545
D:	830.72	0.931663	1.130449	-10.008787	-0.187487	0.002131	-0.041545
D:	831.83	0.931663	1.130449	-10.008787	-0.187487	0.002131	-0.041545
D:	832.95	0.931663	1.130449	-10.008787	-0.187487	0.002131	-0.041545
D:	834.07	1.099314	0.948428	-10.102192	-0.145941	0.007457	-0.036219
D:	835.19	1.099314	0.948428	-10.102192	-0.145941	0.007457	-0.036219
D:	836.31	1.099314	0.948428	-10.102192	-0.145941	0.007457	-0.036219
D:	837.45	1.099314	0.948428	-10.102192	-0.145941	0.007457	-0.036219
D:	838.40	1.099314	0.948428	-10.102192	-0.145941	0.007457	-0.036219
D:	839.50	1.099314	0.948428	-10.102192	-0.145941	0.007457	-0.036219
D:	840.65	1.099314	0.948428	-10.102192	-0.145941	0.007457	-0.036219
D:	841.78	1.099314	0.948428	-10.102192	-0.145941	0.007457	-0.036219
D:	842.91	1.099314	0.948428	-10.102192	-0.145941	0.007457	-0.036219
D:	844.09	1.233435	0.900527	-10.351274	-0.094809	0.017044	0.003196
D:	845.23	1.233435	0.900527	-10.351274	-0.094809	0.017044	0.003196
D:	846.72	1.233435	0.900527	-10.351274	-0.094809	0.017044	0.003196
D:	847.84	1.233435	0.900527	-10.351274	-0.094809	0.017044	0.003196
D:	848.78	1.233435	0.900527	-10.351274	-0.094809	0.017044	0.003196
D:	849.76	1.233435	0.900527	-10.351274	-0.094809	0.017044	0.003196
D:	850.68	1.233435	0.900527	-10.351274	-0.094809	0.017044	0.003196
D:	851.62	1.233435	0.900527	-10.351274	-0.094809	0.017044	0.003196
D:	852.55	1.233435	0.900527	-10.351274	-0.094809	0.017044	0.003196
D:	853.48	1.278940	0.893342	-10.298584	-0.040480	0.025566	0.062851
D:	854.39	1.278940	0.893342	-10.298584	-0.040480	0.025566	0.062851
D:	855.32	1.278940	0.893342	-10.298584	-0.040480	0.025566	0.062851
D:	856.24	1.278940	0.893342	-10.298584	-0.040480	0.025566	0.062851
D:	857.22	1.278940	0.893342	-10.298584	-0.040480	0.025566	0.062851
D:	858.19	1.278940	0.893342	-10.298584	-0.040480	0.025566	0.062851
D:	859.15	1.278940	0.893342	-10.298584	-0.040480	0.025566	0.062851
D:	860.07	1.278940	0.893342	-10.298584	-0.040480	0.025566	0.062851
D:	861.07	1.278940	0.893342	-10.298584	-0.040480	0.025566	0.062851
D:	862.53	1.278940	0.893342	-10.298584	-0.040480	0.025566	0.062851
D:	863.56	1.063389	0.998723	-10.174043	0.003196	0.024501	0.088417
D:	864.66	1.063389	0.998723	-10.174043	0.003196	0.024501	0.088417
D:	865.58	1.063389	0.998723	-10.174043	0.003196	0.024501	0.088417
D:	866.50	1.063389	0.998723	-10.174043	0.003196	0.024501	0.088417
D:	867.54	1.063389	0.998723	-10.174043	0.003196	0.024501	0.088417
D:	868.51	1.063389	0.998723	-10.174043	0.003196	0.024501	0.088417
D:	869.42	1.063389	0.998723	-10.174043	0.003196	0.024501	0.088417
D:	870.36	1.063389	0.998723	-10.174043	0.003196	0.024501	0.088417
D:	871.33	1.063389	0.998723	-10.174043	0.003196	0.024501	0.088417
D:	872.24	1.063389	0.998723	-10.174043	0.003196	0.024501	0.088417
D:	873.15	1.063389	0.998723	-10.174043	0.033023	0.036219	0.078830
D:	874.10	0.941243	1.161584	-10.027947	0.033023	0.036219	0.078830
D:	875.06	0.941243	1.161584	-10.027947	0.033023	0.036219	0.078830
D:	875.99	0.941243	1.161584	-10.027947	0.033023	0.036219	0.078830
D:	876.95	0.941243	1.161584	-10.027947	0.033023	0.036219	0.078830
D:	877.91	0.941243	1.161584	-10.027947	0.033023	0.036219	0.078830
D:	878.93	0.941243	1.161584	-10.027947	0.033023	0.036219	0.078830
D:	879.86	0.941243	1.161584	-10.027947	0.033023	0.036219	0.078830
D:	880.83	0.941243	1.161584	-10.027947	0.033023	0.036219	0.078830
D:	881.97	0.941243	1.161584	-10.027947	0.033023	0.036219	0.078830
D:	883.06	0.941243	1.161584	-10.027947	0.033023	0.061785	0.049002
D:	884.20	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	885.28	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	886.37	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	887.52	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	888.58	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	889.67	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	890.74	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	891.86	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	892.96	0.888552	1.221460	-9.956096	0.070307	0.061785	0.049002
D:	894.07	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	895.11	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	896.40	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	897.53	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	898.56	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	899.48	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	900.39	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	901.30	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	902.21	0.878972	1.195115	-9.867480	0.085221	0.095874	0.026632
D:	903.11	0.878972	1.195115	-9.867480	0.069242	0.101200	0.001065
D:	904.05	0.914897	1.132844	-9.872271	0.069242	0.101200	0.001065
